geo_name,geo_sumlevel,geo_id,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
"Gibson County, IN","county",05000US18051,0.31,0.321,0.321
"Grant County, IN","county",05000US18053,0.331,0.352,0.373
"Greene County, IN","county",05000US18055,0.341,0.324,0.331
"Hamilton County, IN","county",05000US18057,0.229,0.251,0.259
"Hancock County, IN","county",05000US18059,0.296,0.348,0.348
"Harrison County, IN","county",05000US18061,0.34,0.347,0.36
"Hendricks County, IN","county",05000US18063,0.321,0.297,0.318
"Henry County, IN","county",05000US18065,0.305,0.32,0.367
"Howard County, IN","county",05000US18067,0.355,0.355,0.314
"Huntington County, IN","county",05000US18069,0.327,0.322,0.326
"Jackson County, IN","county",05000US18071,0.377,0.393,0.369
"Jasper County, IN","county",05000US18073,0.325,0.291,0.296
"Jay County, IN","county",05000US18075,0.347,0.352,0.34
"Jefferson County, IN","county",05000US18077,0.337,0.351,0.35
"Jennings County, IN","county",05000US18079,0.319,0.334,0.33
"Johnson County, IN","county",05000US18081,0.307,0.323,0.302
"Knox County, IN","county",05000US18083,0.343,0.317,0.323
"Kosciusko County, IN","county",05000US18085,0.313,0.302,0.332
"LaGrange County, IN","county",05000US18087,0.338,0.341,0.342
"Lake County, IN","county",05000US18089,0.354,0.355,0.339
"LaPorte County, IN","county",05000US18091,0.339,0.337,0.35
"Lawrence County, IN","county",05000US18093,0.344,0.376,0.382
